Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-12-30,225.229996,225.630005,221.470001,221.679993,219.837250,20272300,-1.58
2020-12-31,221.699997,223.000000,219.679993,222.419998,220.571106,20942100,0.32
2021-01-04,222.529999,223.000000,214.809998,217.690002,215.880432,37130100,-2.17
2021-01-05,217.259995,218.520004,215.699997,217.899994,216.088654,23823000,0.29
2021-01-06,212.169998,216.490005,211.940002,212.250000,210.485641,35930700,0.04
2021-01-07,214.039993,219.339996,213.710007,218.289993,216.475433,27694500,1.99
2021-01-08,218.679993,220.580002,217.029999,219.619995,217.794388,22956200,0.43
2021-01-11,218.470001,218.910004,216.729996,217.490005,215.682098,23031300,-0.45
2021-01-12,216.500000,217.100006,213.320007,214.929993,213.143356,23249300,-0.73
2021-01-13,214.020004,216.759995,213.929993,216.339996,214.541656,20087100,1.08
2021-01-14,215.910004,217.460007,212.740005,213.020004,211.249252,29480800,-1.34
2021-01-15,213.520004,214.509995,212.029999,212.649994,210.882309,31746500,-0.41
2021-01-19,213.750000,216.979996,212.630005,216.440002,214.640823,30480900,1.26
2021-01-20,217.699997,225.789993,217.289993,224.339996,222.475159,37777300,3.05
2021-01-21,224.699997,226.300003,222.419998,224.970001,223.099915,30709400,0.12
2021-01-22,227.080002,230.070007,225.800003,225.949997,224.071762,30172700,-0.5
2021-01-25,229.119995,229.779999,224.220001,229.529999,227.621994,33152100,0.18
2021-01-26,231.860001,234.179993,230.080002,232.330002,230.398743,49169600,0.2
2021-01-27,238.000000,240.440002,230.139999,232.899994,230.964005,69870600,-2.14
2021-01-28,235.610001,242.639999,235.089996,238.929993,236.943863,49111200,1.41
2021-01-29,235.990005,238.020004,231.350006,231.960007,230.031815,42503100,-1.71
2021-02-01,235.059998,242.500000,232.429993,239.649994,237.657867,33314200,1.95
2021-02-02,241.300003,242.309998,238.690002,239.509995,237.519043,25916300,-0.74
2021-02-03,239.570007,245.089996,239.259995,243.000000,240.980042,27158100,1.43
2021-02-04,242.660004,243.240005,240.369995,242.009995,239.998260,25296100,-0.27
2021-02-05,242.229996,243.279999,240.419998,242.199997,240.186676,18054800,-0.01
2021-02-08,243.149994,243.679993,240.809998,242.470001,240.454453,22211900,-0.28
2021-02-09,241.869995,244.759995,241.380005,243.770004,241.743622,23565000,0.79
2021-02-10,245.000000,245.919998,240.889999,242.820007,240.801529,22186700,-0.89
2021-02-11,244.779999,245.149994,242.149994,244.490005,242.457657,15751100,-0.12
2021-02-12,243.929993,245.300003,242.729996,244.990005,242.953491,16561100,0.43
2021-02-16,245.029999,246.130005,242.919998,243.699997,241.674225,26728500,-0.54
2021-02-17,241.320007,244.309998,240.940002,244.199997,242.727814,21653500,1.19
2021-02-18,241.800003,243.929993,240.860001,243.789993,242.320267,16925600,0.82
2021-02-19,243.750000,243.860001,240.179993,240.970001,239.517288,25262600,-1.14
2021-02-22,237.419998,237.929993,232.399994,234.509995,233.096237,36446900,-1.23
2021-02-23,230.330002,234.830002,228.729996,233.270004,231.863724,30228700,1.28
2021-02-24,230.009995,235.199997,229.000000,234.550003,233.136002,26339700,1.97
2021-02-25,232.080002,234.589996,227.880005,228.990005,227.609512,39542200,-1.33
2021-02-26,231.529999,235.369995,229.539993,232.380005,230.979080,37819200,0.37
2021-03-01,235.899994,237.470001,233.149994,236.940002,235.511581,25324000,0.44
2021-03-02,237.009995,237.300003,233.449997,233.869995,232.460083,22812500,-1.32
2021-03-03,232.160004,233.580002,227.259995,227.559998,226.188126,34029500,-1.98
2021-03-04,226.740005,232.490005,224.259995,226.729996,225.363129,44727800,-0.0
2021-03-05,229.520004,233.270004,226.460007,231.600006,230.203781,41872800,0.91
2021-03-08,231.369995,233.369995,227.130005,227.389999,226.019165,35267400,-1.72
2021-03-09,232.880005,235.380005,231.669998,233.779999,232.370636,33080500,0.39
2021-03-10,237.000000,237.000000,232.039993,232.419998,231.018829,29746800,-1.93
2021-03-11,234.960007,239.169998,234.309998,237.130005,235.700439,29907600,0.92
2021-03-12,234.009995,235.820007,233.229996,235.750000,234.328751,22653700,0.74
2021-03-15,234.960007,235.190002,231.809998,234.809998,233.394409,26034900,-0.06
2021-03-16,236.279999,240.059998,235.940002,237.710007,236.276947,28092200,0.61
2021-03-17,236.149994,238.550003,233.229996,237.039993,235.610992,29562100,0.38
2021-03-18,232.559998,234.190002,230.330002,230.720001,229.329086,34833000,-0.79
2021-03-19,231.020004,232.470001,229.350006,230.350006,228.961319,46430700,-0.29
2021-03-22,230.270004,236.899994,230.139999,235.990005,234.567322,30127000,2.48
2021-03-23,237.490005,241.050003,237.070007,237.580002,236.147720,31638400,0.04
2021-03-24,237.850006,238.000000,235.320007,235.460007,234.040512,25620100,-1.0
2021-03-25,235.300003,236.940002,231.570007,232.339996,230.939316,34061900,-1.26
2021-03-26,231.550003,236.710007,231.550003,236.479996,235.054352,25479900,2.13
2021-03-29,236.589996,236.800003,231.880005,235.240005,233.821823,25227500,-0.57
2021-03-30,233.529999,233.850006,231.100006,231.850006,230.452271,24792000,-0.72
2021-03-31,232.910004,239.100006,232.389999,235.770004,234.348633,43623500,1.23
2021-04-01,238.470001,242.839996,238.050003,242.350006,240.888977,30338000,1.63
2021-04-05,242.759995,249.960007,242.699997,249.070007,247.568466,36910600,2.6
2021-04-06,247.610001,249.399994,246.880005,247.860001,246.365753,22931900,0.1
2021-04-07,247.809998,250.929993,247.190002,249.899994,248.393448,22719800,0.84
2021-04-08,252.770004,254.139999,252.000000,253.250000,251.723251,23625200,0.19
2021-04-09,252.869995,255.990005,252.440002,255.850006,254.307602,24326800,1.18
2021-04-12,254.710007,257.670013,254.619995,255.910004,254.367233,27148700,0.47
2021-04-13,257.260010,259.190002,256.829987,258.489990,256.931671,23837500,0.48
2021-04-14,257.480011,258.829987,255.160004,255.589996,254.049149,23070900,-0.73
2021-04-15,257.929993,259.929993,257.730011,259.500000,257.935577,25627500,0.61
